gid,status,rank_before,rank_after,score_before,score_after,changed_inputs,note
100000008603629100,retained,1,1,1.0,1.0,fast_in_share;n_return_cycles;repeated_routes;c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000000331309100,retained,3,2,0.9879,0.9879,n_return_cycles;repeated_routes;c_seed;c_network,Нормализация зависит от максимума по всему набору
100000000437046100,retained,4,3,0.9798,0.9798,fast_in_share;n_return_cycles;repeated_routes;c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000003115284100,retained,2,4,0.9972,0.952,fast_in_share;n_return_cycles;repeated_routes;c_seed;c_volume;c_network;c_patterns,Нормализация зависит от максимума по всему набору
100000003684369100,retained,5,5,0.9493,0.9493,fast_in_share;n_return_cycles;repeated_routes;c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000008477350100,retained,6,6,0.9396,0.8944,fast_in_share;n_return_cycles;repeated_routes;c_seed;c_volume;c_network;c_patterns,Нормализация зависит от максимума по всему набору
100000002224132100,retained,9,7,0.8897,0.8897,fast_in_share;n_return_cycles;c_seed;c_network,Нормализация зависит от максимума по всему набору
100000004299488100,retained,10,8,0.8817,0.8817,fast_in_share;c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000007055802100,retained,11,9,0.8741,0.8741,fast_in_share;repeated_routes;c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000004015047100,retained,12,10,0.8705,0.8705,fast_in_share;c_role;c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000008547948100,retained,13,11,0.8686,0.8686,repeated_routes;c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000008165763100,retained,7,12,0.9054,0.8602,fast_in_share;repeated_routes;c_seed;c_volume;c_network;c_patterns,Нормализация зависит от максимума по всему набору
100000004400305100,retained,8,13,0.8911,0.8459,n_return_cycles;repeated_routes;c_seed;c_volume;c_network;c_patterns,Нормализация зависит от максимума по всему набору
100000006866783100,retained,15,14,0.82,0.82,n_return_cycles;repeated_routes;c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000006889963100,retained,16,15,0.8184,0.8184,fast_in_share;c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000003016635100,retained,17,16,0.8136,0.8136,fast_in_share;n_return_cycles;repeated_routes;c_role;c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000008346837100,retained,18,17,0.8104,0.8104,fast_in_share;n_return_cycles;c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000004156082100,retained,14,18,0.8521,0.8069,n_return_cycles;repeated_routes;c_seed;c_volume;c_network;c_patterns,Нормализация зависит от максимума по всему набору
100000002398779100,retained,20,19,0.8018,0.8018,fast_in_share;repeated_routes;c_role;c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000008748914100,retained,21,20,0.7992,0.7992,c_role;c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000008489922100,retained,22,21,0.7838,0.7838,fast_in_share;c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000005242320100,retained,25,22,0.7646,0.7646,c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000007594394100,retained,24,23,0.7646,0.7646,c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
