gid,status,rank_before,rank_after,score_before,score_after,changed_inputs,note
100000003701161100,retained,26,24,0.7605,0.7605,fast_in_share;repeated_routes;c_role;c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000008637537100,retained,27,25,0.7602,0.7602,fast_in_share;repeated_routes;c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000005704413100,retained,28,26,0.76,0.76,repeated_routes;c_role;c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000002578405100,retained,19,27,0.8031,0.758,fast_in_share;repeated_routes;c_role;c_volume;c_network;c_patterns,Нормализация зависит от максимума по всему набору
100000005910114100,retained,30,28,0.7545,0.7545,fast_in_share;n_return_cycles;c_role;c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000002957787100,retained,31,29,0.747,0.747,repeated_routes;c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000008304139100,retained,32,30,0.7405,0.7405,fast_in_share;n_return_cycles;c_role;c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000001857829100,retained,23,31,0.7687,0.7235,fast_in_share;n_return_cycles;c_seed;c_volume;c_network;c_patterns,Нормализация зависит от максимума по всему набору
100000004351795100,retained,36,32,0.7178,0.7178,n_return_cycles;c_role;c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000002838861100,retained,38,33,0.7157,0.7157,c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000005933757100,retained,29,34,0.7581,0.7129,fast_in_share;repeated_routes;c_seed;c_volume;c_network;c_patterns,Нормализация зависит от максимума по всему набору
100000003880331100,retained,40,35,0.7114,0.7114,n_return_cycles;c_role;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000006274203100,retained,44,36,0.7055,0.7055,fast_in_share;c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000004070318100,retained,45,37,0.7026,0.7026,fast_in_share;n_return_cycles;c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000002718366100,retained,47,38,0.6985,0.6985,c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000008710791100,retained,48,39,0.6897,0.6897,fast_in_share;c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000002894076100,retained,50,40,0.6854,0.6854,c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000000343175100,entered,51,41,0.6829,0.6829,fast_in_share;c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000008730846100,entered,52,42,0.6802,0.6802,repeated_routes;c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000006518161100,retained,49,43,0.6871,0.6794,role_score;fast_in_share;c_role;c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000002527114100,entered,53,44,0.6782,0.6782,n_return_cycles;c_role;c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000000706545100,entered,55,45,0.6757,0.6757,c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000001330685100,entered,56,46,0.6754,0.6754,c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000005660203100,entered,57,47,0.6725,0.6725,fast_in_share;c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000004759121100,entered,58,48,0.6705,0.6705,fast_in_share;c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000001697501100,retained,41,49,0.7094,0.6642,fast_in_share;n_return_cycles;c_seed;c_volume;c_network;c_patterns,Нормализация зависит от максимума по всему набору
100000003404627100,entered,59,50,0.6641,0.6641,c_seed;c_volume;c_network,Нормализация зависит от максимума по всему набору
100000008748408100,left,42,51,0.7092,0.664,repeated_routes;c_role;c_seed;c_volume;c_network;c_patterns,Нормализация зависит от максимума по всему набору
100000004071080100,left,43,53,0.7077,0.6625,fast_in_share;repeated_routes;c_role;c_seed;c_volume;c_network;c_patterns,Нормализация зависит от максимума по всему набору
100000005339662100,left,33,58,0.7368,0.6464,fast_in_share;repeated_routes;c_seed;c_volume;c_network;c_patterns,Нормализация зависит от максимума по всему набору
100000005782781100,left,34,60,0.7324,0.6421,fast_in_share;n_return_cycles;c_seed;c_volume;c_network;c_patterns,Нормализация зависит от максимума по всему набору
100000003242289100,left,35,61,0.732,0.6417,fast_in_share;n_return_cycles;repeated_routes;c_seed;c_volume;c_network;c_patterns,Нормализация зависит от максимума по всему набору
100000007629096100,left,37,63,0.7169,0.6265,fast_in_share;repeated_routes;c_seed;c_volume;c_network;c_patterns,Нормализация зависит от максимума по всему набору
100000000661912100,left,46,71,0.7021,0.6118,fast_in_share;repeated_routes;c_seed;c_volume;c_network;c_patterns,Нормализация зависит от максимума по всему набору
100000004135268100,left,39,77,0.7152,0.6058,role_score;fast_in_share;n_return_cycles;repeated_routes;c_role;c_seed;c_volume;c_network;c_patterns,Нормализация зависит от максимума по всему набору
