gid,role,role_score,cluster_id,priority_score,evidence,rank,role_secondary,flags,depth,is_seed,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pass_through,truncated,p_forward,seed_payers,seed_upstream,seed_kzt_in,seed_share,key_links,pagerank,betweenness,fast_in_share,lag_median_days,sync_payers_max,n_return_cycles,repeated_routes,split_days,anomaly,c_role,c_seed,c_volume,c_network,c_patterns
100000004015047100,consolidator,0.882,8,0.8705,Сбор от 9 плательщиков (seed: 3): 919 тыс ₸; дальше ушло 8% (1 получ.); к узлу ведут цепочки переводов от 8 seed,12,terminal,возвратные_циклы;аномалия_колена,1,False,9,1,919104.0,69195.0,18,7,0.075285,False,1.0,3,8,585259.71125,0.636772,2,0.002279,2.3e-05,0.037027,0.0,2,1,0,2,True,0.7938,0.8024,0.5495,0.927,0.5
100000008547948100,coordinator,0.744,2,0.8686,"Хаб: 6 плательщиков → 26 получателей; вход 213 тыс ₸, выход 5.2 млн ₸; связан с 9 ключевыми узлами; возвратных циклов: 3",13,distributor,быстрый_транзит;синхронный_сбор;возвратные_циклы;повторяющиеся_маршруты;дробление,2,False,6,26,212665.0,5185600.0,7,31,24.38389,False,1.0,0,3,5829.971974,0.001124,9,0.000428,0.001132,1.0,0.0,4,3,2,3,False,0.744,0.2211,0.8761,0.8556,1.0
100000004156082100,distributor,0.786,3,0.8521,"Веер: 26 получателей при 5 плательщиках; разослал 2.3 млн ₸, в среднем 80 тыс ₸ за перевод",14,,быстрый_транзит;всплеск_активности;возвратные_циклы;повторяющиеся_маршруты;аномалия_колена,1,False,5,26,377366.11,2319556.0,7,29,6.146699,False,1.0,1,4,64298.816485,0.02772,2,0.000867,0.00204,1.0,0.0,2,6,10,2,True,0.5895,0.4546,0.7242,0.9646,1.0
100000006866783100,coordinator,0.903,1,0.82,"Хаб: 13 плательщиков → 67 получателей; вход 839 тыс ₸, выход 3.9 млн ₸; связан с 18 ключевыми узлами; возвратных циклов: 85",15,distributor,быстрый_транзит;синхронный_сбор;возвратные_циклы;повторяющиеся_маршруты;дробление;seed,0,True,13,67,838812.0,3948037.0,31,90,4.706701,False,1.0,0,3,38421.925245,1.0,18,0.00087,0.006045,1.0,0.0,5,85,52,6,False,0.903,0.3481,0.8246,0.9689,1.0
100000006889963100,consolidator,0.721,10,0.8184,Сбор от 4 плательщиков (seed: 2): 1.4 млн ₸; дальше ушло 31% (1 получ.); к узлу ведут цепочки переводов от 9 seed,16,,синхронный_сбор;всплеск_активности;повторяющиеся_маршруты,1,False,4,1,1431000.0,443475.8,6,3,0.309906,False,1.0,2,9,533172.205405,0.372587,4,0.000427,2.5e-05,0.309906,1.0,4,0,1,1,False,0.6489,0.8174,0.6331,0.7972,0.5
100000003016635100,distributor,0.937,3,0.8136,"Веер: 73 получателя при 8 плательщиках; разослал 9.4 млн ₸, в среднем 62 тыс ₸ за перевод; вход занижен (seed)",17,,быстрый_транзит;синхронный_сбор;возвратные_циклы;повторяющиеся_маршруты;аномалия_колена;дробление;seed,0,True,8,73,586981.0,9414081.0,36,151,16.038136,False,1.0,0,3,106066.212562,1.0,2,0.00119,0.007215,1.0,0.0,3,12,67,15,True,0.7028,0.4439,0.9886,0.9811,1.0
100000008346837100,coordinator,0.741,13,0.8104,"Хаб: 9 плательщиков → 25 получателей; вход 254 тыс ₸, выход 1.3 млн ₸; связан с 6 ключевыми узлами; возвратных циклов: 20",18,distributor,быстрый_транзит;синхронный_сбор;возвратные_циклы,2,False,9,25,254359.0,1258643.0,12,26,4.948294,False,1.0,0,6,13600.731826,0.010806,6,0.000547,0.008981,0.800247,1.0,4,20,0,0,False,0.741,0.3896,0.6088,0.9213,0.75
100000002578405100,distributor,0.997,19,0.8031,"Веер: 116 получателей при 2 плательщиках; разослал 3.1 млн ₸, в среднем 26 тыс ₸ за перевод",19,,быстрый_транзит;возвратные_циклы;повторяющиеся_маршруты;аномалия_колена,2,False,2,116,1200351.0,3108352.0,7,120,2.589536,False,1.0,0,1,2065.523782,0.000665,1,0.00057,0.000171,1.0,0.0,1,2,1,1,True,0.7478,0.0,0.7795,0.9097,1.0
100000002398779100,consolidator,0.809,1,0.8018,Сбор от 13 плательщиков: 1.1 млн ₸; дальше ушло 6% (1 получ.); к узлу ведут цепочки переводов от 5 seed,20,terminal,синхронный_сбор;всплеск_активности;повторяющиеся_маршруты;аномалия_колена,2,False,13,1,1095690.0,66000.0,28,3,0.060236,False,1.0,0,5,30411.366425,0.027755,7,0.001601,1.3e-05,0.049284,2.0,7,0,3,0,True,0.7281,0.4288,0.5827,0.8823,0.75
100000008748914100,distributor,0.703,5,0.7992,"Веер: 13 получателей при 2 плательщиках; разослал 4.5 млн ₸, в среднем 213 тыс ₸ за перевод",21,,быстрый_транзит;возвратные_циклы;повторяющиеся_маршруты;аномалия_колена;дробление,1,False,2,13,180000.0,4471847.0,9,21,24.843594,False,1.0,1,1,96840.7298,0.021656,6,0.000791,0.000641,1.0,1.0,1,1,4,3,True,0.5272,0.2143,0.8481,0.9515,1.0
100000008489922100,distributor,0.85,2,0.7838,"Веер: 36 получателей при 3 плательщиках; разослал 3.8 млн ₸, в среднем 92 тыс ₸ за перевод",22,,быстрый_транзит;возвратные_циклы;аномалия_колена,3,False,3,36,262010.0,3789900.0,5,41,14.464715,False,1.0,0,3,2510.31405,0.000662,9,0.000586,0.000872,0.889279,1.0,2,1,0,1,True,0.6375,0.2211,0.8169,0.9286,0.75
100000001857829100,coordinator,0.648,9,0.7687,"Хаб: 6 плательщиков → 16 получателей; вход 889 тыс ₸, выход 2.4 млн ₸; связан с 5 ключевыми узлами; возвратных циклов: 5",23,distributor,быстрый_транзит;синхронный_сбор;возвратные_циклы,2,False,6,16,888535.0,2390993.0,9,16,2.690938,False,1.0,0,3,3995.891443,0.001671,5,0.00062,0.00196,0.989871,0.0,3,5,0,0,False,0.648,0.2211,0.7299,0.9397,0.75
100000005242320100,distributor,0.778,11,0.7646,"Веер: 21 получатель при 2 плательщиках; разослал 8.9 млн ₸, в среднем 308 тыс ₸ за перевод",24,,быстрый_транзит;аномалия_колена;дробление,2,False,2,21,365700.0,8936295.0,2,29,24.436136,False,1.0,0,2,2866.26597,0.000321,1,0.0005,3e-05,1.0,0.0,1,0,0,3,True,0.5835,0.1395,0.9788,0.8234,0.75
100000007594394100,consolidator,0.698,18,0.7646,"Сбор от 6 плательщиков: 395 тыс ₸; отдал 3.4 млн ₸ 1 получ. — больше, чем получил в выборке; к узлу ведут цепочки переводов от 4 seed",25,,быстрый_транзит;возвратные_циклы;дробление,2,False,6,1,395385.0,3376312.0,6,40,8.539302,False,1.0,0,4,7105.537376,0.002105,5,0.000406,3.6e-05,1.0,0.0,2,1,0,12,False,0.6282,0.2789,0.7951,0.7927,0.75
100000003701161100,consolidator,0.651,23,0.7605,Сбор от 4 плательщиков (seed: 1): 1.5 млн ₸; дальше ушло 23% (3 получ.); к узлу ведут цепочки переводов от 3 seed,26,,возвратные_циклы;повторяющиеся_маршруты,1,False,4,3,1527103.0,349000.0,13,7,0.228537,False,1.0,1,3,269263.338314,0.176323,1,0.001649,0.000213,0.022919,10.0,2,4,2,0,False,0.5859,0.5318,0.6453,0.9671,0.5
100000008637537100,consolidator,0.646,10,0.7602,"Сбор от 3 плательщиков (seed: 2): 620 тыс ₸; отдал 2.4 млн ₸ 3 получ. — больше, чем получил в выборке; к узлу ведут цепочки переводов от 4 seed",27,transit,быстрый_транзит;возвратные_циклы;повторяющиеся_маршруты;дробление;seed,0,True,3,3,619890.0,2351495.0,22,30,3.793407,False,1.0,2,4,614599.875265,1.0,1,0.000829,7.8e-05,0.881584,0.0,2,4,2,6,False,0.5814,0.6676,0.7268,0.927,1.0
100000005704413100,distributor,0.833,15,0.76,"Веер: 32 получателя при 3 плательщиках; разослал 1.4 млн ₸, в среднем 39 тыс ₸ за перевод",28,,быстрый_транзит;возвратные_циклы;повторяющиеся_маршруты;аномалия_колена,3,False,3,32,97834.67,1363593.0,4,35,13.937728,False,1.0,0,2,3218.862602,0.002361,4,0.0006,0.002563,1.0,0.0,2,2,8,1,True,0.6247,0.1395,0.6239,0.9384,1.0
100000005933757100,distributor,0.836,16,0.7581,"Веер: 34 получателя при 4 плательщиках; разослал 3 млн ₸, в среднем 65 тыс ₸ за перевод",29,,быстрый_транзит;возвратные_циклы;повторяющиеся_маршруты,2,False,4,34,1246000.0,3002628.0,6,46,2.409814,False,1.0,0,2,3319.924052,0.001106,3,0.000998,0.003893,1.0,1.0,2,2,2,2,False,0.627,0.1395,0.7729,0.9744,0.75
100000005910114100,distributor,0.752,1,0.7545,"Веер: 19 получателей при 3 плательщиках; разослал 1.5 млн ₸, в среднем 26 тыс ₸ за перевод",30,,быстрый_транзит;возвратные_циклы;аномалия_колена;дробление,3,False,3,19,326144.0,1469993.0,3,56,4.50719,False,1.0,0,4,2783.087262,0.001893,17,0.000362,0.005842,0.816081,0.0,1,25,0,13,True,0.564,0.2789,0.6381,0.8243,1.0
100000002957787100,distributor,0.836,1,0.747,"Веер: 34 получателя при 4 плательщиках; разослал 1.3 млн ₸, в среднем 31 тыс ₸ за перевод",31,,быстрый_транзит;всплеск_активности;возвратные_циклы;повторяющиеся_маршруты,2,False,4,34,84956.0,1276153.96,7,41,15.021352,False,1.0,0,4,999.028126,0.000783,6,0.000614,0.004277,1.0,0.0,2,1,13,1,False,0.627,0.2789,0.6114,0.9426,0.75
100000008304139100,distributor,0.781,20,0.7405,"Веер: 24 получателя при 4 плательщиках; разослал 1.7 млн ₸, в среднем 39 тыс ₸ за перевод",32,,быстрый_транзит;возвратные_циклы;аномалия_колена;дробление,1,False,4,24,189329.75,1692997.0,4,43,8.942055,False,1.0,1,2,23934.194804,0.014137,15,0.000314,0.00131,0.904394,1.0,1,14,0,4,True,0.5858,0.2218,0.6648,0.7442,1.0
100000005339662100,consolidator,0.642,3,0.7368,"Сбор от 4 плательщиков (seed: 1): 203 тыс ₸; отдал 295 тыс ₸ 4 получ. — больше, чем получил в выборке; к узлу ведут цепочки переводов от 3 seed",33,transit,быстрый_транзит;возвратные_циклы;повторяющиеся_маршруты;дробление,1,False,4,4,202939.0,295160.0,9,15,1.454427,False,1.0,1,3,56496.937286,0.191411,4,0.001657,0.00014,0.634058,0.0,2,3,1,3,False,0.5778,0.3845,0.3351,0.9622,1.0
100000005782781100,coordinator,0.662,18,0.7324,"Хаб: 6 плательщиков → 10 получателей; вход 172 тыс ₸, выход 1.3 млн ₸; связан с 8 ключевыми узлами; возвратных циклов: 6",34,consolidator,быстрый_транзит;синхронный_сбор;возвратные_циклы,2,False,6,10,171888.0,1263597.0,10,10,7.351281,False,1.0,0,3,3293.844452,0.002607,8,0.000488,0.000568,0.940659,0.0,3,6,0,0,False,0.662,0.2211,0.6096,0.8717,0.75
100000003242289100,distributor,0.782,14,0.732,"Веер: 23 получателя при 3 плательщиках; разослал 2.4 млн ₸, в среднем 91 тыс ₸ за перевод",35,,быстрый_транзит;возвратные_циклы;повторяющиеся_маршруты,2,False,3,23,550791.0,2377741.0,8,26,4.316957,False,1.0,0,3,5846.453593,0.002459,6,0.00044,0.001001,0.714629,2.0,2,12,4,1,False,0.5865,0.2211,0.7289,0.8614,0.75
100000004351795100,distributor,0.701,14,0.7178,"Веер: 14 получателей при 3 плательщиках; разослал 1.7 млн ₸, в среднем 46 тыс ₸ за перевод",36,,быстрый_транзит;возвратные_циклы;дробление,1,False,3,14,118333.0,1715161.0,3,37,14.494359,False,1.0,1,3,66872.005421,0.038989,8,0.000314,0.002429,1.0,2.0,1,22,0,3,False,0.5257,0.4004,0.6672,0.7471,0.75
100000002838861100,consolidator,0.755,6,0.7157,Сбор от 5 плательщиков (seed: 2): 555 тыс ₸; дальше ушло 2% (1 получ.); к узлу ведут цепочки переводов от 4 seed,37,terminal,возвратные_циклы,1,False,5,1,554523.95,10000.0,5,1,0.018033,False,1.0,2,4,403408.422153,0.727486,4,0.00212,1.9e-05,0.0,9.0,2,1,0,0,False,0.6795,0.6279,0.4541,0.909,0.25
100000004135268100,transit,0.844,29,0.7152,"Пропуск 81%: получил 1.2 млн ₸ от 2 плательщиков, отдал 1 млн ₸ 3 получ.; 69% ушло ≤2 дн. после поступления",38,,быстрый_транзит;возвратные_циклы;повторяющиеся_маршруты,1,False,2,3,1239000.0,1000200.0,3,4,0.807264,False,1.0,1,1,1210778.839089,0.977223,0,0.001741,1e-06,0.686037,0.0,1,3,1,0,False,0.4642,0.4526,0.6059,0.8683,0.75
100000003880331100,distributor,0.749,9,0.7114,"Веер: 16 получателей при 1 плательщике; разослал 3.9 млн ₸, в среднем 126 тыс ₸ за перевод",39,,быстрый_транзит;всплеск_активности;возвратные_циклы;аномалия_колена;дробление,3,False,1,16,100000.0,3904908.0,1,31,39.04908,False,1.0,0,1,167.122674,4.3e-05,5,0.000308,0.00066,1.0,0.0,1,3,0,5,True,0.5618,0.0,0.8225,0.7169,1.0
100000001697501100,distributor,0.858,12,0.7094,"Веер: 38 получателей при 3 плательщиках; разослал 1.5 млн ₸, в среднем 27 тыс ₸ за перевод",40,,быстрый_транзит;возвратные_циклы;аномалия_колена,1,False,3,38,123700.0,1482606.0,3,55,11.985497,False,1.0,1,1,25478.599475,0.017185,2,0.000592,0.000205,1.0,0.0,1,3,0,2,True,0.6435,0.0883,0.6397,0.9179,0.75
100000008748408100,distributor,0.787,8,0.7092,"Веер: 21 получатель при 1 плательщике; разослал 1.5 млн ₸, в среднем 68 тыс ₸ за перевод",41,,быстрый_транзит;всплеск_активности;повторяющиеся_маршруты;аномалия_колена,1,False,1,21,360000.0,1499960.0,2,22,4.166556,False,1.0,1,1,360000.0,0.240006,1,0.000334,7e-06,1.0,0.0,1,0,6,0,True,0.5903,0.3382,0.6419,0.6873,0.75
100000004071080100,consolidator,0.789,1,0.7077,Сбор от 9 плательщиков (seed: 1): 239 тыс ₸; дальше ушло 19% (2 получ.),42,,возвратные_циклы;повторяющиеся_маршруты;аномалия_колена,1,False,9,2,238600.0,46500.0,16,5,0.194887,False,1.0,1,2,71355.087018,0.299057,8,0.001369,2.8e-05,0.096396,3.0,2,1,2,0,True,0.7101,0.3249,0.295,0.9197,0.75
100000006274203100,terminal,0.904,18,0.7055,"Получил 3.4 млн ₸ от 2 плательщиков, дальше ушло лишь 2% (исходящие наблюдаемы); к узлу ведут цепочки переводов от 4 seed",43,,возвратные_циклы;аномалия_колена,3,False,2,3,3417512.0,72000.0,41,3,0.021068,False,1.0,0,4,7154.786292,0.002094,2,0.000632,3.7e-05,0.0,6.0,1,1,0,0,True,0.5424,0.2789,0.7974,0.8843,0.5
100000004070318100,distributor,0.742,1,0.7026,"Веер: 19 получателей при 4 плательщиках; разослал 552 тыс ₸, в среднем 15 тыс ₸ за перевод",44,,быстрый_транзит;возвратные_циклы;аномалия_колена;дробление,1,False,4,19,207246.55,551860.0,6,37,2.662819,False,1.0,1,2,65291.960614,0.118313,17,0.000314,0.002073,1.0,0.0,2,63,0,5,True,0.5565,0.3165,0.4532,0.7487,1.0
100000000661912100,consolidator,0.698,1,0.7021,Сбор от 5 плательщиков (seed: 1): 393 тыс ₸; дальше ушло 110% (2 получ.),45,transit,быстрый_транзит;возвратные_циклы;повторяющиеся_маршруты,1,False,5,2,393036.0,430700.0,9,8,1.095828,False,1.0,1,2,38024.065937,0.088284,4,0.001749,0.001334,0.671888,0.0,2,1,1,1,False,0.6282,0.2655,0.4064,0.9831,0.75
100000002718366100,consolidator,0.716,2,0.6985,Сбор от 6 плательщиков: 2.5 млн ₸; дальше не ушло ничего; к узлу ведут цепочки переводов от 5 seed,46,terminal,синхронный_сбор;аномалия_колена,2,False,6,0,2525000.0,0.0,10,0,0.0,False,0.0,0,5,50632.400235,0.020052,5,0.000681,0.0,0.0,,3,0,0,0,True,0.6444,0.4769,0.7402,0.4537,0.5
100000008710791100,distributor,0.782,2,0.6897,"Веер: 23 получателя при 3 плательщиках; разослал 5.5 млн ₸, в среднем 221 тыс ₸ за перевод",47,,быстрый_транзит,2,False,3,23,181510.0,5521511.0,3,25,30.419872,False,1.0,0,5,6961.199086,0.001261,6,0.000334,0.000315,0.933888,0.0,1,0,0,0,False,0.5865,0.3238,0.8879,0.7778,0.25
100000002894076100,consolidator,0.746,6,0.6854,Сбор от 4 плательщиков (seed: 2): 1.1 млн ₸; дальше не ушло ничего; к узлу ведут цепочки переводов от 7 seed,48,terminal,синхронный_сбор,1,False,4,0,1122782.0,0.0,6,0,0.0,False,0.0,2,7,822302.200838,0.732379,4,0.000383,0.0,0.0,,3,0,0,0,False,0.6714,0.8077,0.5873,0.3401,0.25
100000000343175100,coordinator,0.76,7,0.6829,"Хаб: 8 плательщиков (seed: 1) → 31 получатель; вход 179 тыс ₸, выход 4 млн ₸; связан с 7 ключевыми узлами",49,distributor,быстрый_транзит;seed,0,True,8,31,178712.0,4000039.0,14,33,22.382599,False,1.0,1,4,74168.063659,1.0,7,0.000713,0.001095,0.969224,0.0,2,0,0,1,False,0.76,0.468,0.8271,0.9491,0.25
100000008730846100,consolidator,0.699,1,0.6802,"Сбор от 7 плательщиков: 155 тыс ₸; отдал 363 тыс ₸ 3 получ. — больше, чем получил в выборке; к узлу ведут цепочки переводов от 4 seed",50,,быстрый_транзит;синхронный_сбор;всплеск_активности;повторяющиеся_маршруты,2,False,7,3,155042.0,363370.0,11,4,2.343688,False,1.0,0,4,1832.157423,0.005042,4,0.000536,0.000141,1.0,0.0,4,0,3,1,False,0.6291,0.2789,0.3743,0.885,0.75
100000002527114100,distributor,0.995,12,0.6782,"Веер: 111 получателей при 3 плательщиках; разослал 3.3 млн ₸, в среднем 29 тыс ₸ за перевод; вход занижен (seed)",51,,быстрый_транзит;возвратные_циклы;аномалия_колена;seed,0,True,3,111,129000.0,3289249.0,4,113,25.498054,False,1.0,0,0,40546.650933,1.0,1,0.000811,0.000193,1.0,0.0,1,3,0,1,True,0.7462,0.1321,0.7901,0.9433,0.75
100000001732159100,transit,0.743,10,0.6764,"Признаки передачи средств seed: вход неполон; переправил 1.5 млн ₸ 4 получ., 31% — одному",52,,возвратные_циклы;повторяющиеся_маршруты;дробление;seed,0,True,2,4,2378100.0,1505966.0,30,23,0.633264,False,1.0,2,3,2378100.0,1.0,2,0.001095,2e-05,0.012615,10.0,2,4,1,5,False,0.4086,0.7211,0.7289,0.9028,0.75
100000000706545100,terminal,0.897,3,0.6757,"Получил 1.1 млн ₸ от 3 плательщиков (seed: 1), дальше ушло лишь 7% (исходящие наблюдаемы)",53,,возвратные_циклы,1,False,3,1,1070300.0,75800.0,8,3,0.070821,False,1.0,1,2,730574.930742,0.682589,1,0.003227,2e-05,0.0,20.0,1,1,0,1,False,0.5382,0.5444,0.5782,0.9157,0.25
100000001330685100,terminal,0.934,4,0.6754,"Получил 2.4 млн ₸ от 3 плательщиков (seed: 1), дальше ушло лишь 4% (исходящие наблюдаемы); к узлу ведут цепочки переводов от 3 seed",54,,аномалия_колена,1,False,3,1,2435923.0,100500.0,7,1,0.041257,False,1.0,1,3,135739.358021,0.055724,3,0.000438,1.9e-05,0.0,,2,0,0,0,True,0.5604,0.4672,0.7335,0.7658,0.25
100000005660203100,terminal,0.773,3,0.6725,"Получил 573 тыс ₸ от 1 плательщика, дальше ушло лишь 7% (исходящие наблюдаемы); к узлу ведут цепочки переводов от 3 seed",55,,возвратные_циклы;повторяющиеся_маршруты,2,False,1,2,572899.0,41000.0,12,5,0.071566,False,1.0,0,3,522586.01561,0.912178,0,0.000949,1.9e-05,0.0,18.0,1,1,1,1,False,0.4638,0.5944,0.4603,0.8879,0.5
100000007629096100,consolidator,0.638,20,0.6717,Сбор от 4 плательщиков: 1.1 млн ₸; дальше ушло 71% (1 получ.); к узлу ведут цепочки переводов от 3 seed,56,,возвратные_циклы;повторяющиеся_маршруты,2,False,4,1,1075170.0,765205.0,5,5,0.711706,False,1.0,0,3,23851.443539,0.022184,2,0.002472,1.5e-05,0.330338,11.0,2,1,1,1,False,0.5742,0.3031,0.5791,0.8923,0.5
100000004759121100,consolidator,0.727,10,0.6705,Сбор от 6 плательщиков (seed: 1): 710 тыс ₸; дальше ушло 44% (2 получ.); к узлу ведут цепочки переводов от 3 seed,57,,возвратные_циклы,1,False,6,2,710000.0,312000.0,10,6,0.439437,False,1.0,1,3,68622.406804,0.096651,5,0.001415,7.7e-05,0.147887,1.0,1,1,0,0,False,0.6543,0.4028,0.5008,0.9468,0.25
100000006518161100,transit,0.775,3,0.6672,"Пропуск 100%: получил 594 тыс ₸ от 3 плательщиков, отдал 596 тыс ₸ 2 получ.",58,,возвратные_циклы;повторяющиеся_маршруты,1,False,3,2,594200.0,595899.0,13,13,1.002859,False,1.0,1,3,543566.115696,0.912178,2,0.000811,5.8e-05,0.103161,8.0,2,1,2,1,False,0.4263,0.5981,0.4677,0.9188,0.5
100000003404627100,consolidator,0.705,10,0.6641,Сбор от 4 плательщиков (seed: 1): 878 тыс ₸; дальше не ушло ничего; к узлу ведут цепочки переводов от 5 seed,59,terminal,синхронный_сбор,1,False,4,0,877700.0,0.0,5,0,0.0,False,0.0,1,5,614284.213462,0.699879,0,0.001379,0.0,0.0,,3,0,0,0,False,0.6345,0.7124,0.5408,0.4853,0.25
100000005382566100,consolidator,0.846,7,0.6639,Сбор от 7 плательщиков (seed: 6): 393 тыс ₸; дальше ушло 13% (1 получ.); к узлу ведут цепочки переводов от 11 seed,60,,возвратные_циклы;seed,0,True,7,1,393066.0,50000.0,11,1,0.127205,False,1.0,6,11,339962.369934,1.0,0,0.002113,4.6e-05,0.0,8.0,2,1,0,0,False,0.7614,0.8153,0.3892,0.9437,0.25
