gid,role,role_score,cluster_id,priority_score,evidence,rank,role_secondary,flags,depth,is_seed,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pass_through,truncated,p_forward,seed_payers,seed_upstream,seed_kzt_in,seed_share,key_links,pagerank,betweenness,fast_in_share,lag_median_days,sync_payers_max,n_return_cycles,repeated_routes,split_days,anomaly,c_role,c_seed,c_volume,c_network,c_patterns
100000008603629100,coordinator,0.936,1,1.0,"Хаб: 19 плательщиков → 61 получатель; вход 1.8 млн ₸, выход 5 млн ₸; связан с 19 ключевыми узлами; возвратных циклов: 96",1,distributor,быстрый_транзит;синхронный_сбор;возвратные_циклы;повторяющиеся_маршруты;аномалия_колена;дробление,2,False,19,61,1817300.0,4986156.0,45,74,2.743717,False,1.0,0,4,33165.435136,0.006652,19,0.001192,0.005761,1.0,0.0,4,96,35,3,True,0.936,0.3921,0.8687,0.9809,1.0
100000003115284100,consolidator,0.813,1,0.9972,Сбор от 8 плательщиков (seed: 2): 2.2 млн ₸; дальше ушло 24% (2 получ.); к узлу ведут цепочки переводов от 9 seed,2,,синхронный_сбор;всплеск_активности;возвратные_циклы;повторяющиеся_маршруты;аномалия_колена,1,False,8,2,2160500.0,517000.0,15,4,0.239296,False,1.0,2,9,849633.552163,0.393258,7,0.001529,0.000128,0.224022,1.0,7,2,2,0,True,0.7317,0.8613,0.7108,0.9586,1.0
100000000331309100,coordinator,0.833,4,0.9879,"Хаб: 5 плательщиков → 99 получателей; вход 985 тыс ₸, выход 23 млн ₸; связан с 11 ключевыми узлами; возвратных циклов: 1",3,distributor,быстрый_транзит;синхронный_сбор;возвратные_циклы;повторяющиеся_маршруты;аномалия_колена;дробление,2,False,5,99,984635.0,23001375.0,8,126,23.360306,False,1.0,0,4,27494.970577,0.001195,11,0.000876,0.004557,1.0,0.0,3,1,4,11,True,0.833,0.3744,1.0,0.9684,1.0
100000000437046100,coordinator,0.831,10,0.9798,"Хаб: 9 плательщиков → 42 получателя; вход 1.1 млн ₸, выход 7.6 млн ₸; связан с 15 ключевыми узлами; возвратных циклов: 45",4,distributor,быстрый_транзит;синхронный_сбор;возвратные_циклы;повторяющиеся_маршруты;аномалия_колена;дробление,2,False,9,42,1107200.0,7606224.0,20,73,6.869783,False,1.0,0,4,36889.886717,0.00485,15,0.000792,0.002197,0.838503,0.0,3,45,22,6,True,0.831,0.4021,0.9484,0.9595,1.0
100000003684369100,coordinator,0.961,5,0.9493,"Хаб: 24 плательщика (seed: 1) → 62 получателя; вход 3.8 млн ₸, выход 8.6 млн ₸; связан с 16 ключевыми узлами; возвратных циклов: 1",5,distributor,быстрый_транзит;синхронный_сбор;возвратные_циклы;повторяющиеся_маршруты;аномалия_колена;дробление;seed,0,True,24,62,3848436.0,8588655.0,58,67,2.231726,False,1.0,1,6,500392.2516,1.0,16,0.00202,0.002303,0.971762,0.0,6,1,143,3,True,0.961,0.7298,0.9713,0.99,1.0
100000008477350100,coordinator,0.847,1,0.9396,"Хаб: 11 плательщиков → 39 получателей; вход 610 тыс ₸, выход 3.4 млн ₸; связан с 14 ключевыми узлами; возвратных циклов: 46",6,distributor,быстрый_транзит;возвратные_циклы;повторяющиеся_маршруты;аномалия_колена,2,False,11,39,610100.0,3374866.0,14,44,5.53166,False,1.0,0,3,40938.536029,0.01213,14,0.001034,0.002517,0.723652,0.0,2,46,2,2,True,0.847,0.3541,0.795,0.9735,1.0
100000008165763100,coordinator,0.819,1,0.9054,"Хаб: 15 плательщиков (seed: 1) → 17 получателей; вход 1.2 млн ₸, выход 1.3 млн ₸; связан с 13 ключевыми узлами",7,consolidator;transit,синхронный_сбор;повторяющиеся_маршруты;аномалия_колена,1,False,15,17,1165815.0,1267858.0,26,17,1.087529,False,1.0,1,6,188882.234844,0.148977,13,0.00091,0.000345,0.541141,0.0,4,0,4,0,True,0.819,0.6378,0.6102,0.9584,0.75
100000004400305100,coordinator,0.854,1,0.8911,"Хаб: 7 плательщиков → 82 получателя; вход 223 тыс ₸, выход 5.8 млн ₸; связан с 24 ключевыми узлами; возвратных циклов: 34",8,distributor,быстрый_транзит;возвратные_циклы;повторяющиеся_маршруты;аномалия_колена,2,False,7,82,222800.0,5830181.0,9,101,26.167778,False,1.0,0,2,4934.913454,0.000846,24,0.000386,0.002609,1.0,0.0,2,34,1,1,True,0.854,0.1395,0.8982,0.8396,1.0
100000002224132100,consolidator,0.637,21,0.8897,"Сбор от 5 плательщиков: 4 млн ₸; отдал 12.1 млн ₸ 4 получ. — больше, чем получил в выборке",9,,возвратные_циклы;повторяющиеся_маршруты;аномалия_колена;дробление,2,False,5,4,3951020.0,12115000.0,10,25,3.066297,False,1.0,0,2,181058.730122,0.014945,0,0.005996,6e-06,0.360313,0.0,2,7,1,4,True,0.5733,0.4128,1.0,0.893,1.0
100000004299488100,consolidator,0.727,1,0.8817,Сбор от 6 плательщиков (seed: 1): 1.7 млн ₸; дальше ушло 20% (2 получ.); к узлу ведут цепочки переводов от 3 seed,10,,синхронный_сбор;возвратные_циклы;повторяющиеся_маршруты;аномалия_колена;дробление,1,False,6,2,1749000.0,344999.0,22,14,0.197255,False,1.0,1,3,416800.090608,0.238308,6,0.001462,2.1e-05,0.040023,4.0,3,1,3,5,True,0.6543,0.5731,0.6709,0.9119,1.0
100000007055802100,consolidator,0.74,1,0.8741,Сбор от 6 плательщиков (seed: 1): 2 млн ₸; дальше ушло 30% (1 получ.); к узлу ведут цепочки переводов от 3 seed,11,,синхронный_сбор;возвратные_циклы;повторяющиеся_маршруты;аномалия_колена,1,False,6,1,2024999.0,605000.0,34,7,0.298766,False,1.0,1,3,254676.855176,0.125766,6,0.001182,4e-06,0.144198,1.0,4,1,4,0,True,0.666,0.5266,0.6986,0.8717,1.0
