strategy,n_removed,giant_nodes,fragments_3plus,giant_turnover_share,edges_left_share
без блокировок,0,1877,14.0,0.935,1.0
наш топ (priority_score),5,1639,31.0,0.754,0.895
топ по обороту,5,1620,31.0,0.687,0.903
seed с макс. исходящими,5,1651,31.0,0.807,0.898
случайные,5,1869,14.3,0.931,0.996
наш топ (priority_score),10,1504,45.0,0.647,0.836
топ по обороту,10,1502,38.0,0.591,0.837
seed с макс. исходящими,10,1632,32.0,0.784,0.851
случайные,10,1862,14.3,0.927,0.991
наш топ (priority_score),20,1311,58.0,0.553,0.708
топ по обороту,20,1286,58.0,0.461,0.746
seed с макс. исходящими,20,1569,32.0,0.709,0.829
случайные,20,1837,15.2,0.909,0.981
наш топ (priority_score),50,911,87.0,0.318,0.554
топ по обороту,50,1028,75.0,0.317,0.571
seed с макс. исходящими,50,1542,30.0,0.704,0.807
случайные,50,1792,16.1,0.89,0.959
